,Open,High,Low,Close,Volume
2026-07-13,300.4333673842647,302.2258980390127,299.0419176577563,300.60943415950885,62870874
2026-07-14,298.79562053980453,300.1923520816702,297.32680807281355,298.52946594702786,53293498
2026-07-15,300.21309037082284,301.68238805235023,298.4193515622493,300.0303683386408,78211472
2026-07-16,302.1178640772212,303.72317633306074,300.51573339883396,301.9114977714232,88458818
2026-07-17,298.2248378956195,299.2508862915885,297.07793104352345,298.00942739411556,53176243
2026-07-20,296.4758921808261,297.69962633354135,293.739831687992,295.4050683803909,78937545
2026-07-21,295.4575416785332,296.11238378335526,294.95699042269933,295.66074918672547,53057000
2026-07-22,294.77214263750255,295.4344181344031,294.5312609058616,295.0282640020383,75844509
2026-07-23,294.5877753229058,296.3977870182526,294.2256891735097,294.99466168702975,79450328
2026-07-24,293.5965635431703,294.64453671422797,291.788327000809,293.28857383188256,62468075
2026-07-27,295.61185592796863,296.82928091963475,294.0159907671557,295.0473697816082,76845979
2026-07-28,296.5459799236387,298.17995159581494,296.0556907213782,296.6029536524661,53612078
2026-07-29,296.3149368091073,298.0775080235896,295.2130562139212,296.73501504758855,43962675
2026-07-30,298.57725685367905,300.185940382709,298.10309506879537,298.98949746152465,44819548
2026-07-31,300.2498125399411,301.4563854292829,298.47113947088883,299.92451614602874,62351185
2026-08-03,298.577558305864,299.3246684823767,297.202849924229,298.20593122026224,85130119
2026-08-04,299.21500992257984,299.47048202480215,298.05759458145354,298.94343278842723,46378842
2026-08-05,296.6929127331249,298.0117588873875,295.95019097265873,297.02566758676926,62788814
2026-08-06,298.89864885091714,299.4849012619923,297.4480595217698,298.78256818938377,75201603
2026-08-07,298.7410592719816,299.67641083068594,297.8314536684152,298.6827163674113,50118168
2026-08-10,298.4223359386853,300.158461470568,297.95522178555177,298.3129916403208,76080819
2026-08-11,297.386846940487,298.0079380150446,296.538721927696,296.9511325515129,55297831
2026-08-12,299.50801300324827,299.8129579382886,297.4647994326718,299.3962152288609,80433037
2026-08-13,299.42661304625926,300.13310405189884,297.25171102144964,299.0871562647233,68960978
2026-08-14,298.26429015514157,298.99275891912157,296.77102777953775,298.2305006203971,67345363
